title,audience_score,type,genre,runtime,year,mpaa_rating,studio,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url,imdb_id
The Girl Next Door,62,Feature Film,Drama,91,2007,R,Moderncine,17215,67,Fresh,no,no,no,no,no,no,Upright,Gregory Wilson,Blanche Baker,Blythe Auffarth,Daniel Manche,Grant Show,Graham Patrick Martin,http://www.imdb.com/title/tt0830558/,http://www.rottentomatoes.com/m/jack_ketchums_the_girl_next_door/,830558
Malcolm X,91,Feature Film,Drama,202,1992,PG-13,Warner Bros.,60273,91,Certified Fresh,no,no,yes,no,no,no,Upright,Spike Lee,Denzel Washington,Angela Bassett,Al Freeman Jr.,Delroy Lindo,Albert Hall,http://www.imdb.com/title/tt0104797/,http://www.rottentomatoes.com/m/1042135-malcolm_x/,104797
Margaret,48,Feature Film,Drama,150,2011,R,Fox Searchlight,11460,74,Certified Fresh,no,no,no,no,no,no,Spilled,Kenneth Lonergan,Anna Paquin,Matt Damon,Mark Ruffalo,Matthew Broderick,Jean Reno,http://www.imdb.com/title/tt0466893/,http://www.rottentomatoes.com/m/margaret_2010/,466893
The Forgotten,36,Feature Film,Drama,91,2004,PG-13,Sony Pictures,55966,31,Rotten,no,no,no,yes,no,no,Spilled,Joseph Ruben,Julianne Moore,Dominic West,Gary Sinise,Alfre Woodard,Linus Roache,http://www.imdb.com/title/tt0356618/,http://www.rottentomatoes.com/m/forgotten/,356618
The Brown Bunny,45,Feature Film,Art House & International,93,2003,G,Wellspring Media,11067,43,Rotten,no,no,no,no,no,no,Spilled,Vincent Gallo,Vincent Gallo,Chloe Sevigny,Cheryl Tiegs,Elizabeth Blake,Anna Vereschi,http://www.imdb.com/title/tt0330099/,http://www.rottentomatoes.com/m/the_brown_bunny/,330099
I'm Reed Fish,41,Feature Film,Drama,93,2006,PG,Red Envelope Entertainment,3829,55,Rotten,no,no,no,no,no,no,Spilled,Zackary Adler,Jay Baruchel,Alexis Bledel,Schuyler Fisk,Victor Rasuk,D.J. Qualls,http://www.imdb.com/title/tt0464061/,http://www.rottentomatoes.com/m/reed_fish/,464061
Strangeland,63,Feature Film,Mystery & Suspense,85,1998,R,The Shooting Gallery,5459,6,Rotten,no,no,no,no,no,no,Upright,John Pipelow,Dee Snider,Kevin Gage,Elizabeth Pena,Brett Harrelson,Robert Englund,http://www.imdb.com/title/tt0124102/,http://www.rottentomatoes.com/m/strangeland/,124102
Redacted,45,Feature Film,Documentary,90,2007,R,Magnolia Pictures,8608,45,Rotten,no,no,no,no,no,no,Spilled,Brian DePalma,Izzy Diaz,Daniel Stewart Sherman,Patrick Carroll,Rob Devaney,Francois Caillaud,http://www.imdb.com/title/tt0937237/,http://www.rottentomatoes.com/m/redacted/,937237
Sleepaway Camp III: Teenage Wasteland,30,Feature Film,Horror,80,1989,R,MGM,4640,0,Rotten,no,no,no,no,no,no,Spilled,Michael A. Simpson,Pamela Springsteen,Tracy Griffith,Tracey Griffith,Michael J. Pollard,Mark Oliver,http://www.imdb.com/title/tt0096119/,http://www.rottentomatoes.com/m/sleepaway_camp_iii_teenage_wasteland/,96119
Hobo with a Shotgun,57,Feature Film,Action & Adventure,86,2011,R,Magnolia Releasing,36148,65,Fresh,no,no,no,no,no,no,Spilled,Jason Eisener,Rutger Hauer,Gregory Smith,Molly Dunsworth,Brian Downey,Nick Bateman (II),http://www.imdb.com/title/tt1640459/,http://www.rottentomatoes.com/m/hobo_with_a_shotgun/,1640459
Resident Evil: Extinction,58,Feature Film,Action & Adventure,94,2007,R,Sony Pictures,141991,22,Rotten,no,no,no,no,no,no,Spilled,Russell Mulcahy,Milla Jovovich,Oded Fehr,Ali Larter,Iain Glen,Mike Epps,http://www.imdb.com/title/tt0432021/,http://www.rottentomatoes.com/m/resident_evil_extinction/,432021
Veronica Mars,79,Feature Film,Drama,107,2014,PG-13,Warner Bros.,39070,78,Certified Fresh,no,no,no,no,no,no,Upright,Rob Thomas (II),Kristen Bell,Ryan Hansen,Jason Dohring,Chris Lowell,Tina Majorino,http://www.imdb.com/title/tt2771372/,http://www.rottentomatoes.com/m/veronica_mars/,2771372
Passchendaele,57,Feature Film,Drama,114,2008,Unrated,Alliance Atlantis,6721,36,Rotten,no,no,no,no,no,no,Spilled,Paul Gross,Paul Gross,Caroline Dhavernas,Joe Dinicol,Meredith Bailey,Gil Bellows,http://www.imdb.com/title/tt1092082/,http://www.rottentomatoes.com/m/1218219-passchendaele/,1092082
The Slugger's Wife,19,Feature Film,Drama,105,1985,PG-13,Columbia Pictures,827,0,Rotten,no,no,no,no,no,no,Spilled,Hal Ashby,Rebecca De Mornay,Michael O'Keefe,Martin Ritt,Randy Quaid,Lisa Langlois,http://www.imdb.com/title/tt0090036/,http://www.rottentomatoes.com/m/sluggers_wife/,90036
The Chosen,80,Feature Film,Drama,108,1981,PG,Westchester Films,1463,82,Fresh,no,no,yes,no,no,no,Upright,Jeremy Kagan,Robby Benson,Barry Miller,Maximilian Schell,Rod Steiger,Hildy Brooks,http://www.imdb.com/title/tt0082175/,http://www.rottentomatoes.com/m/1004110-chosen/,82175
Misery,89,Feature Film,Drama,107,1990,R,Columbia Pictures,125262,89,Certified Fresh,no,no,no,yes,no,no,Upright,Rob Reiner,Kathy Bates,James Caan,Richard Farnsworth,Frances Sternhagen,Lauren Bacall,http://www.imdb.com/title/tt0100157/,http://www.rottentomatoes.com/m/misery/,100157
Earth Girls Are Easy,42,Feature Film,Other,100,1988,PG,Vestron Pictures,15826,66,Fresh,no,no,no,no,no,no,Spilled,Julien Temple,Geena Davis,Jeff Goldblum,Julie Brown,Jim Carrey,Damon Wayans,http://www.imdb.com/title/tt0097257/,http://www.rottentomatoes.com/m/earth_girls_are_easy/,97257
Ready to Rumble,52,Feature Film,Action & Adventure,107,2000,PG-13,Warner Bros. Pictures,11425,23,Rotten,no,no,no,no,no,no,Spilled,Brian Robbins,David Arquette,Oliver Platt,Scott Caan,Bill Goldberg,Joe Pantoliano,http://www.imdb.com/title/tt0217756/,http://www.rottentomatoes.com/m/ready_to_rumble/,217756
Thieves Like Us,71,Feature Film,Drama,123,1974,R,United Artists,3076,89,Fresh,no,no,no,yes,no,no,Upright,Robert Altman,Keith Carradine,Shelley Duvall,John Schuck,Bert Remsen,Louise Fletcher,http://www.imdb.com/title/tt0072274/,http://www.rottentomatoes.com/m/thieves_like_us/,72274
The Man Who Knew Too Little,70,Feature Film,Comedy,94,1997,PG,Warner Home Video,22828,41,Rotten,no,no,no,no,no,no,Upright,Jon Amiel,Bill Murray,Rod Taylor,Peter Gallagher,James Booth,Joanne Whalley,http://www.imdb.com/title/tt0120483/,http://www.rottentomatoes.com/m/man_who_knew_too_little/,120483
Superman,86,Feature Film,Action & Adventure,143,1978,PG,Warner Bros. Pictures,117664,93,Certified Fresh,no,no,yes,no,no,yes,Upright,Jonathan Barry,Marlon Brando,Christopher Reeve,Gene Hackman,Margot Kidder,Ned Beatty,http://www.imdb.com/title/tt0078346/,http://www.rottentomatoes.com/m/superman_the_movie/,78346
40 Days and 40 Nights,43,Feature Film,Other,96,2002,R,Miramax Films,60285,38,Rotten,no,no,no,no,no,no,Spilled,Michael Lehmann,Josh Hartnett,Shannyn Sossamon,Paulo Costanzo,Adam Trese,Emmanuelle Vaugier,http://www.imdb.com/title/tt0243736/,http://www.rottentomatoes.com/m/40_days_and_40_nights/,243736
The Help,89,Feature Film,Drama,146,2011,PG-13,DreamWorks Studios,293213,76,Certified Fresh,yes,no,no,no,no,no,Upright,Tate Taylor,Emma Stone,Viola Davis,Bryce Dallas Howard,Octavia Spencer,Jessica Chastain,http://www.imdb.com/title/tt1454029/,http://www.rottentomatoes.com/m/the_help/,1454029
Boy Wonder,62,Feature Film,Drama,93,2010,R,Lightning Entertainment,7226,40,Rotten,no,no,no,no,no,no,Upright,Michael Morrissey,Caleb Steinmeyer,Zulay Henao,Bill Sage,Tracy Middendorf,James Russo,http://www.imdb.com/title/tt1456060/,http://www.rottentomatoes.com/m/boy_wonder/,1456060
Powder Blue,41,Feature Film,Drama,106,2009,R,Speakeasy Releasing,11976,25,Rotten,no,no,yes,no,no,no,Spilled,Timothy Linh Bui,Jessica Biel,Forest Whitaker,Ray Liotta,Patrick Swayze,Kris Kristofferson,http://www.imdb.com/title/tt1032819/,http://www.rottentomatoes.com/m/10008687-powder_blue/,1032819
Live and Let Die,65,Feature Film,Mystery & Suspense,121,1973,PG,MGM Home Entertainment,69622,66,Fresh,no,no,no,no,no,no,Upright,Guy Hamilton,Roger Moore,Yaphet Kotto,Jane Seymour,Julius W. Harris,Clifton James,http://www.imdb.com/title/tt0070328/,http://www.rottentomatoes.com/m/live_and_let_die/,70328
The King's Speech,92,Feature Film,Drama,118,2010,PG-13,The Weinstein Company,455343,95,Certified Fresh,yes,yes,yes,no,yes,no,Upright,Tom Hooper,Colin Firth,Geoffrey Rush,Derek Jacobi,Guy Pearce,Timothy Spall,http://www.imdb.com/title/tt1504320/,http://www.rottentomatoes.com/m/the_kings_speech/,1504320
Nickelodeon,52,Feature Film,Comedy,121,1976,PG,Sony Pictures Entertainment,1452,14,Rotten,no,no,no,no,no,no,Spilled,Peter Bogdanovich,Ryan O'Neal,Burt Reynolds,Tatum O'Neal,Brian Keith,Stella Stevens,http://www.imdb.com/title/tt0074964/,http://www.rottentomatoes.com/m/nickelodeon_1976/,74964
Kiss of Death,37,Feature Film,Drama,101,1995,R,Twentieth Century Fox Home Entertainment,13748,68,Fresh,no,no,yes,yes,no,no,Spilled,Barbet Schroeder,David Caruso,Samuel L. Jackson,Helen Hunt,Kathryn Erbe,Nicolas Cage,http://www.imdb.com/title/tt0113552/,http://www.rottentomatoes.com/m/1060720-kiss_of_death/,113552
Turner & Hooch,52,Feature Film,Mystery & Suspense,97,1989,PG,Buena Vista Pictures,44647,54,Rotten,no,no,yes,no,no,no,Spilled,Roger Spottiswoode,Tom Hanks,Mare Winningham,Craig T. Nelson,Reginald VelJohnson,Scott Paulin,http://www.imdb.com/title/tt0098536/,http://www.rottentomatoes.com/m/turner_and_hooch/,98536
Proof,59,Feature Film,Drama,100,2005,PG-13,Miramax Films,34842,62,Fresh,no,no,yes,yes,no,no,Spilled,James D. Stern,Gwyneth Paltrow,Anthony Hopkins,Jake Gyllenhaal,Hope Davis,Roshan Seth,http://www.imdb.com/title/tt0377107/,http://www.rottentomatoes.com/m/proof/,377107
Highlander,79,Feature Film,Action & Adventure,116,1986,R,20th Century Fox,93128,67,Fresh,no,no,no,no,no,no,Upright,Russell Mulcahy,Christopher Lambert,Sean Connery,Roxanne Hart,Clancy Brown,Beatie Edney,http://www.imdb.com/title/tt0091203/,http://www.rottentomatoes.com/m/highlander/,91203
Day of the Dead,22,Feature Film,Mystery & Suspense,86,2008,R,First Look International,17394,14,Rotten,no,no,no,no,no,no,Spilled,Steve Miner,Ving Rhames,Mena Suvari,Michael Welch,Christa Campbell,Nick Cannon,http://www.imdb.com/title/tt0489018/,http://www.rottentomatoes.com/m/10008607-day_of_the_dead/,489018
The Perfect Host,55,Feature Film,Mystery & Suspense,93,2010,R,Magnolia Pictures,19080,44,Rotten,no,no,no,no,no,no,Spilled,Nick Tomnay,David Hyde Pierce,Clayne Crawford,Nathaniel Parker,Helen Reddy,Megahn Perry,http://www.imdb.com/title/tt1334553/,http://www.rottentomatoes.com/m/the-perfect-host/,1334553
Beyond Re-Animator,40,Feature Film,Horror,96,2003,R,LionsGate Entertainment,8430,45,Rotten,no,no,no,no,no,no,Spilled,Brian Yuzna,Jeffrey Combs,Jason Barry,Bruce Abbott,Simon Andreu,Elsa Pataky,http://www.imdb.com/title/tt0222812/,http://www.rottentomatoes.com/m/beyond_reanimator/,222812
With Blood on My Hands: Pusher II,85,Feature Film,Drama,100,2004,Unrated,Nordisk Film Biografdistributi,12128,100,Fresh,no,no,no,no,no,no,Upright,Nicolas Winding Refn,Mads Mikkelsen,Leif Sylvester,Anne Sorensen,Zlatko Burik,Kurt Nielsen,http://www.imdb.com/title/tt0396184/,http://www.rottentomatoes.com/m/pusher_ii_with_blood_on_my_hands/,396184
Moscow on the Hudson,60,Feature Film,Drama,115,1984,R,Sony Pictures Home Entertainment,8329,89,Fresh,no,no,no,no,no,no,Upright,Paul Mazursky,Robin Williams,Maria Conchita Alonso,Cleavant Derricks,Alejandro Rey,Elya Baskin,http://www.imdb.com/title/tt0087747/,http://www.rottentomatoes.com/m/moscow_on_the_hudson/,87747
Leave It to Beaver,31,Feature Film,Other,84,1997,PG,Universal Pictures,3130,21,Rotten,no,no,no,no,no,no,Spilled,Andy Cadif,Christopher McDonald,Janine Turner,Cameron Finley,Erik von Detten,Eric Von Detten,http://www.imdb.com/title/tt0119509/,http://www.rottentomatoes.com/m/leave_it_to_beaver/,119509
Little Giants,63,Feature Film,Comedy,107,1994,PG,Warner Home Video,18265,40,Rotten,no,no,no,no,no,no,Upright,Duwayne Dunham,Rick Moranis,Ed O'Neill,Shawna Waldron,Devon Sawa,Todd Bosley,http://www.imdb.com/title/tt0110364/,http://www.rottentomatoes.com/m/little_giants/,110364
I.Q.,47,Feature Film,Comedy,100,1994,PG,Paramount Home Video,19233,46,Rotten,no,no,no,no,no,no,Spilled,Fred Schepisi,Tim Robbins,Meg Ryan,Walter Matthau,Lou Jacobi,Gene Saks,http://www.imdb.com/title/tt0110099/,http://www.rottentomatoes.com/m/formula_para_amar/,110099
The Love Letter,38,Feature Film,Comedy,88,1999,PG-13,DreamWorks SKG,3489,33,Rotten,no,no,no,no,no,no,Spilled,Peter Ho-Sun Chan,Kate Capshaw,Blythe Danner,Ellen DeGeneres,Gloria Stuart,Tom Everett Scott,http://www.imdb.com/title/tt0166252/,http://www.rottentomatoes.com/m/1090771-love_letter/,166252
Sophie's Choice,85,Feature Film,Drama,150,1982,R,Twentieth Century Fox Home Entertainment,27296,79,Fresh,no,no,no,yes,no,no,Upright,Alan J. Pakula,Meryl Streep,Kevin Kline,Peter MacNicol,Rita Karin,Stephen D. Newman,http://www.imdb.com/title/tt0084707/,http://www.rottentomatoes.com/m/sophies_choice/,84707
Waking Life,87,Feature Film,Drama,99,2001,R,Fox Searchlight,45953,80,Certified Fresh,no,no,no,no,no,no,Upright,Richard Linklater,Lorelei Linklater,Trevor Jack Brooks,Glover Gill,Timothy 'Speed' Levitch,Laura Hicks,http://www.imdb.com/title/tt0243017/,http://www.rottentomatoes.com/m/waking_life/,243017
Big Trouble,54,Feature Film,Drama,85,2002,PG-13,Touchstone Pictures,16849,48,Rotten,no,no,no,no,no,no,Spilled,Barry Sonnenfeld,Tim Allen,Rene Russo,Stanley Tucci,Tom Sizemore,Johnny Knoxville,http://www.imdb.com/title/tt0246464/,http://www.rottentomatoes.com/m/1109942-big_trouble/,246464
Quantum of Solace,58,Feature Film,Drama,106,2008,PG-13,Sony/MGM,300510,65,Fresh,no,no,no,no,no,no,Spilled,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,Jeffrey Wright,http://www.imdb.com/title/tt0830515/,http://www.rottentomatoes.com/m/quantum_of_solace/,830515
License to Wed,53,Feature Film,Drama,91,2007,PG-13,Warner Bros. Pictures,31025,7,Rotten,no,no,no,no,no,no,Spilled,Ken Kwapis,Robin Williams,Mandy Moore,John Krasinski,Eric Christian Olsen,Christine Taylor,http://www.imdb.com/title/tt0762114/,http://www.rottentomatoes.com/m/1175072-license_to_wed/,762114
Hachi: A Dog's Tale,85,Feature Film,Drama,93,2009,G,Inferno Entertainment,131497,62,Fresh,no,no,no,no,no,no,Upright,Lasse Hallstrom,Richard Gere,Joan Allen,Sarah Roemer,Cary-Hiroyuki Tagawa,Jason Alexander,http://www.imdb.com/title/tt1028532/,http://www.rottentomatoes.com/m/hachi_a_dogs_tale/,1028532
30 Days of Night,56,Feature Film,Mystery & Suspense,113,2007,R,Sony Pictures/Columbia,131685,51,Rotten,no,no,no,no,no,no,Spilled,David Slade,Josh Hartnett,Melissa George,Danny Huston,Ben Foster,Mark Rendall,http://www.imdb.com/title/tt0389722/,http://www.rottentomatoes.com/m/30_days_of_night/,389722
Quest for Camelot,59,Feature Film,Other,86,1998,G,Warner Bros. Pictures,10363,36,Rotten,no,no,no,no,no,no,Spilled,Bronson Pinchot,Jessalyn Gilsig,Jessalyn Gilsag,Jaleel White,Andrea Corr,Cary Elwes,http://www.imdb.com/title/tt0120800/,http://www.rottentomatoes.com/m/quest_for_camelot/,120800
Communion,47,Feature Film,Drama,107,1989,R,New Line Cinema,3922,20,Rotten,no,no,no,no,no,no,Spilled,Philippe Mora,Christopher Walken,Lindsay Crouse,Joel Carlson,Frances Sternhagen,Andreas Katsulas,http://www.imdb.com/title/tt0097100/,http://www.rottentomatoes.com/m/communion/,97100
The Addiction,68,Feature Film,Drama,82,1995,Unrated,Guild,6362,73,Fresh,no,no,no,no,no,no,Upright,Abel Ferrara,Lili Taylor,Christopher Walken,Annabella Sciorra,Edie Falco,Paul Calderon,http://www.imdb.com/title/tt0112288/,http://www.rottentomatoes.com/m/1068307-addiction/,112288
A Walk in the Clouds,75,Feature Film,Drama,102,1995,PG-13,Twentieth Century Fox Home Entertainment,23435,42,Rotten,no,no,no,no,no,no,Upright,Alfonso Arau,Keanu Reeves,Aitana Sanchez-Gijon,Anthony Quinn,Giancarlo Giannini,Angelica Aragon,http://www.imdb.com/title/tt0114887/,http://www.rottentomatoes.com/m/walk_in_the_clouds/,114887
The Crew,37,Feature Film,Comedy,88,2000,PG-13,Touchstone Pictures,3809,20,Rotten,no,no,yes,no,no,no,Spilled,Michael Dinner,Burt Reynolds,Richard Dreyfuss,Dan Hedaya,Seymour Cassel,Carrie-Anne Moss,http://www.imdb.com/title/tt0198386/,http://www.rottentomatoes.com/m/1099659-crew/,198386
Sex and the City,77,Feature Film,Comedy,145,2008,R,Warner Bros. Pictures,95123,49,Rotten,no,no,no,no,no,no,Upright,Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,Cynthia Nixon,Kristin Davis,Chris Noth,http://www.imdb.com/title/tt1000774/,http://www.rottentomatoes.com/m/sex_and_the_city/,1000774
The Life and Death of Peter Sellers,72,Feature Film,Drama,122,2004,Unrated,Home Box Office,12670,76,Fresh,no,no,yes,yes,no,no,Upright,Stephen Hopkins,Geoffrey Rush,Charlize Theron,Emily Watson,John Lithgow,Miriam Margolyes,http://www.imdb.com/title/tt0352520/,http://www.rottentomatoes.com/m/1142298-life_and_death_of_peter_sellers/,352520
Dr. Giggles,42,Feature Film,Horror,95,1992,R,MCA Universal Home Video,4120,27,Rotten,no,no,no,no,no,no,Spilled,Manny Coto,Larry Drake,Holly Marie Combs,Cliff De Young,Glenn Quinn,Keith Diamond,http://www.imdb.com/title/tt0104139/,http://www.rottentomatoes.com/m/dr_giggles/,104139
Twelfth Night or What You Will,80,Feature Film,Drama,134,1996,PG,New Line Home Entertainment,4720,74,Fresh,no,no,yes,no,no,no,Upright,Trevor Nunn,Helena Bonham Carter,Richard E. Grant,Nigel Hawthorne,Ben Kingsley,Mel Smith,http://www.imdb.com/title/tt0117991/,http://www.rottentomatoes.com/m/twelfth_night_1998/,117991
Silent Night,34,Feature Film,Drama,94,2012,R,Anchor Bay Films,5131,64,Fresh,no,no,no,no,no,no,Spilled,Steven C. Miller,Malcolm McDowell,Jaime King,Donal Logue,Brendan Fehr,Lisa Marie,http://www.imdb.com/title/tt2347497/,http://www.rottentomatoes.com/m/silent_night_2010/,2347497
Rise of the Footsoldier,84,Feature Film,Action & Adventure,119,2007,R,Carnaby International,15387,14,Rotten,no,no,no,no,no,no,Upright,Julian Gilbey,Ricci Harnett,Craig Fairbrass,Terry Stone,Roland Manookian,Coralie Rose,http://www.imdb.com/title/tt0901507/,http://www.rottentomatoes.com/m/rise-of-the-footsoldier/,901507
Father of the Bride Part II,60,Feature Film,Comedy,106,1995,PG,Disney,25193,48,Rotten,no,no,no,yes,no,no,Upright,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,http://www.imdb.com/title/tt0113041/,http://www.rottentomatoes.com/m/father_of_the_bride_part_ii/,113041
Surrogates,38,Feature Film,Action & Adventure,89,2009,PG-13,Touchstone Pictures,146449,39,Rotten,no,no,no,no,no,no,Spilled,Jonathan Mostow,Bruce Willis,Radha Mitchell,Rosamund Pike,Boris Kodjoe,James Ginty,http://www.imdb.com/title/tt0986263/,http://www.rottentomatoes.com/m/10009598-surrogates/,986263
Encino Man,56,Feature Film,Science Fiction & Fantasy,88,1992,PG,Hollywood Pictures,28378,16,Rotten,no,no,no,no,no,no,Spilled,Les Mayfield,Sean Astin,Brendan Fraser,Pauly Shore,Megan Ward,Robin Tunney,http://www.imdb.com/title/tt0104187/,http://www.rottentomatoes.com/m/encino_man/,104187
Son of a Gun,66,Feature Film,Drama,108,2014,R,A24,15227,63,Fresh,no,no,no,no,no,no,Upright,Julius Avery,Brenton Thwaites,Ewan McGregor,Alicia Vikander,Damon Herriman,Matt Nable,http://www.imdb.com/title/tt2452200/,http://www.rottentomatoes.com/m/son_of_a_gun_2015/,2452200
Ice Age: Dawn of the Dinosaurs,63,Feature Film,Action & Adventure,94,2009,PG,20th Century Fox/Emerging Pictures,151293,45,Rotten,no,no,no,no,no,no,Upright,Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary,Simon Pegg,Queen Latifah,http://www.imdb.com/title/tt1080016/,http://www.rottentomatoes.com/m/1194515-ice_age_dawn_of_the_dinosaurs/,1080016
Paranormal Activity 4,35,Feature Film,Horror,88,2012,R,Paramount Pictures,47993,24,Rotten,no,no,no,no,no,no,Spilled,Ariel Schulman,Katie Featherston,Kathryn Newton,Mattt Shively,Stephen Dunham,Brady Allen,http://www.imdb.com/title/tt2109184/,http://www.rottentomatoes.com/m/paranormal_activity_4_2012/,2109184
The Craft,65,Feature Film,Drama,101,1996,R,Sony Pictures Home Entertainment,53619,50,Rotten,no,no,no,no,no,no,Upright,Andrew Fleming,Robin Tunney,Fairuza Balk,Neve Campbell,Rachel True,Skeet Ulrich,http://www.imdb.com/title/tt0115963/,http://www.rottentomatoes.com/m/craft/,115963
"To Wong Foo Thanks for Everything, Julie Newmar",71,Feature Film,Comedy,109,1995,PG-13,Universal Pictures,19966,41,Rotten,no,no,no,no,no,no,Upright,Beeban Kidron,Wesley Snipes,Patrick Swayze,John Leguizamo,Stockard Channing,Blythe Danner,http://www.imdb.com/title/tt0114682/,http://www.rottentomatoes.com/m/to_wong_foo_thanks_for_everything_julie_newmar/,114682
Mr. Wrong,25,Feature Film,Comedy,96,1996,PG-13,Mandeville Films,4223,4,Rotten,no,no,no,no,no,no,Spilled,Nick Castle Jr.,Ellen DeGeneres,Bill Pullman,Joan Cusack,Dean Stockwell,Joan Plowright,http://www.imdb.com/title/tt0117102/,http://www.rottentomatoes.com/m/mr_wrong/,117102
A Nightmare on Elm Street,83,Feature Film,Mystery & Suspense,91,1984,R,New Line Cinema,138431,94,Certified Fresh,no,no,no,no,no,no,Upright,Wes Craven,Robert Englund,Heather Langenkamp,John Saxon,Ronee Blakely,Amanda Wyss,http://www.imdb.com/title/tt0087800/,http://www.rottentomatoes.com/m/nightmare_on_elm_street/,87800
Tales from the Hood,68,Feature Film,Horror,98,1995,R,HBO Video,4340,38,Rotten,no,no,no,no,no,no,Upright,Rusty Cundieff,Clarence Williams III,Joe Torry,Wings Hauser,Anthony Griffith,Michael Massee,http://www.imdb.com/title/tt0114609/,http://www.rottentomatoes.com/m/tales_from_the_hood/,114609
Short Cuts,89,Feature Film,Drama,187,1993,R,Fine Line Features,33712,94,Certified Fresh,no,no,no,no,no,no,Upright,Robert Altman,Tim Robbins,Jennifer Jason Leigh,Andie MacDowell,Madeline Stowe,Bruce Davison,http://www.imdb.com/title/tt0108122/,http://www.rottentomatoes.com/m/short_cuts/,108122
Going in Style,87,Feature Film,Drama,97,1979,PG,Warner Bros. Pictures,1783,89,Fresh,no,no,yes,no,no,no,Upright,Zach Braff,George Burns,Art Carney,Lee Strasberg,Charles Hallahan,Pamela Payton-Wright,http://www.imdb.com/title/tt0079219/,http://www.rottentomatoes.com/m/going_in_style/,79219
The Room,46,Feature Film,Drama,99,2003,R,Chloe Productions,26404,35,Rotten,no,no,no,no,no,no,Spilled,Tommy Wiseau,Tommy Wiseau,Juliette Danielle,Greg Sestero,Philip Haldiman,Carolyn Minnott,http://www.imdb.com/title/tt0368226/,http://www.rottentomatoes.com/m/the_room_1998/,368226
The Wedding Singer,80,Feature Film,Drama,95,1998,PG-13,New Line Cinema,104450,67,Fresh,no,no,no,no,no,no,Upright,Frank Coraci,Adam Sandler,Drew Barrymore,Christine Taylor,Allen Covert,Matthew Glave,http://www.imdb.com/title/tt0120888/,http://www.rottentomatoes.com/m/wedding_singer/,120888
The Hunt for Red October,88,Feature Film,Mystery & Suspense,135,1990,PG,Paramount Pictures,135759,86,Certified Fresh,no,no,no,no,no,no,Upright,Jonathan Zurer,Sean Connery,Alec Baldwin,Scott Glenn,Sam Neill,James Earl Jones,http://www.imdb.com/title/tt0099810/,http://www.rottentomatoes.com/m/hunt_for_red_october/,99810
I'll Be Home for Christmas,41,Feature Film,Comedy,86,1998,PG,Buena Vista Pictures,6119,23,Rotten,no,no,no,no,no,no,Spilled,Arlene Sanford,Jonathan Taylor Thomas,Jessica Biel,Adam LaVorgna,Gary Cole,Eve Gordon,http://www.imdb.com/title/tt0155753/,http://www.rottentomatoes.com/m/1088110-ill_be_home_for_christmas/,155753
Wishmaster,38,Feature Film,Drama,90,1997,R,Live Home Video,14755,21,Rotten,no,no,no,no,no,no,Spilled,Robert Kurtzman,Tammy Lauren,Andrew Divoff,Tony Todd,Kane Hodder,Robert Englund,http://www.imdb.com/title/tt0120524/,http://www.rottentomatoes.com/m/wishmaster/,120524
Police Academy 4: Citizens on Patrol,37,Feature Film,Comedy,88,1987,PG,Warner Home Video,29402,0,Rotten,no,no,no,no,no,no,Spilled,Jim Drake (II),Steve Guttenberg,Bubba Smith,Michael Winslow,G.W. Bailey,David Graf,http://www.imdb.com/title/tt0093756/,http://www.rottentomatoes.com/m/police_academy_4_citizens_on_patrol/,93756
"Romulus, My Father",66,Feature Film,Drama,104,2007,R,Magnolia Pictures,3631,55,Rotten,no,no,no,no,no,no,Upright,Richard Roxburgh,Eric Bana,Franka Potente,Kodi Smit-McPhee,Marton Csokas,Russell Dykstra,http://www.imdb.com/title/tt0462023/,http://www.rottentomatoes.com/m/romulus_my_father/,462023
The Conversation,90,Feature Film,Mystery & Suspense,113,1974,PG,Paramount Pictures,70195,98,Certified Fresh,yes,no,yes,no,yes,no,Upright,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,Cindy Williams,http://www.imdb.com/title/tt0071360/,http://www.rottentomatoes.com/m/conversation/,71360
The Clan of the Cave Bear,47,Feature Film,Drama,98,1986,R,Warner Bros. Pictures,4826,10,Rotten,no,no,no,no,no,no,Spilled,Michael Chapman,Daryl Hannah,Pamela Reed,James Remar,Thomas G. Waites,John Doolittle,http://www.imdb.com/title/tt0090848/,http://www.rottentomatoes.com/m/clan_of_the_cave_bear/,90848
The Original Kings of Comedy,79,Documentary,Documentary,115,2000,R,Paramount Pictures,4615,86,Certified Fresh,no,no,no,no,no,no,Upright,Spike Lee,Steve Harvey,D.L. Hughley,Cedric the Entertainer,Bernie Mac,NA,http://www.imdb.com/title/tt0236388/,http://www.rottentomatoes.com/m/original_kings_of_comedy/,236388
